Arxiv	cc53ba20d18d11ea9a8facde48001122	Small-world MCMC and convergence to multi-modal distributions: From slow
  mixing to fast mixing	math.PR	http://arxiv.org/abs/math/0703021v1
Arxiv	ce18f5d2d18d11ea9a8facde48001122	Control Variates for Reversible MCMC Samplers	stat.CO	http://arxiv.org/abs/1008.1355v1
Arxiv	cfb9b46cd18d11ea9a8facde48001122	Automatic Step Size Selection in Random Walk Metropolis Algorithms	stat.CO	http://arxiv.org/abs/1103.5986v1
Arxiv	d1588d34d18d11ea9a8facde48001122	Variational MCMC	cs.LG	http://arxiv.org/abs/1301.2266v1
Arxiv	d2f8bec0d18d11ea9a8facde48001122	Metropolis-type algorithms for Continuous Time Bayesian Networks	stat.ME	http://arxiv.org/abs/1403.4035v1
Arxiv	d60d1ffcd18d11ea9a8facde48001122	Bayesian Robust Quantile Regression	stat.ME	http://arxiv.org/abs/1605.05602v1
Arxiv	d7aca9ead18d11ea9a8facde48001122	On the Uniform Random Generation of Non Deterministic Automata Up to
  Isomorphism	cs.FL	http://arxiv.org/abs/1512.02797v1
Arxiv	d93c4aaed18d11ea9a8facde48001122	Optimal scalings for local Metropolis--Hastings chains on nonproduct
  targets in high dimensions	math.PR	http://arxiv.org/abs/0908.0865v1
Arxiv	dacc9c20d18d11ea9a8facde48001122	Model selection of stochastic simulation algorithm based on generalized
  divergence measures	stat.ME	http://arxiv.org/abs/1401.5015v1
Arxiv	dc6ca822d18d11ea9a8facde48001122	Locally weighted Markov chain Monte Carlo	stat.CO	http://arxiv.org/abs/1506.08852v1
Arxiv	de0d8f52d18d11ea9a8facde48001122	Irreversible Samplers from Jump and Continuous Markov Processes	stat.ME	http://arxiv.org/abs/1608.05973v5
Arxiv	df9d8f0cd18d11ea9a8facde48001122	Metropolis Integration Schemes for Self-Adjoint Diffusions	math.NA	http://arxiv.org/abs/1309.5037v2
Arxiv	e12dba04d18d11ea9a8facde48001122	Lattice Gaussian Sampling by Markov Chain Monte Carlo: Bounded Distance
  Decoding and Trapdoor Sampling	cs.IT	http://arxiv.org/abs/1704.02673v2
Arxiv	e2cf544ed18d11ea9a8facde48001122	The Skipping Sampler: A new approach to sample from complex conditional
  densities	math.PR	http://arxiv.org/abs/1905.09964v1
Arxiv	e4708250d18d11ea9a8facde48001122	f-SAEM: A fast Stochastic Approximation of the EM algorithm for
  nonlinear mixed effects models	stat.ME	http://arxiv.org/abs/1910.12222v1
Arxiv	e79af9e2d18d11ea9a8facde48001122	AMAGOLD: Amortized Metropolis Adjustment for Efficient Stochastic
  Gradient MCMC	cs.LG	http://arxiv.org/abs/2003.00193v1
Arxiv	e93c25bed18d11ea9a8facde48001122	A method to reduce the rejection rate in Monte Carlo Markov Chains	cond-mat.stat-mech	http://arxiv.org/abs/1608.05899v3
Arxiv	eace5baed18d11ea9a8facde48001122	Modified Hamiltonian Monte Carlo for Bayesian inference	stat.CO	http://arxiv.org/abs/1706.04032v2
Arxiv	ec636914d18d11ea9a8facde48001122	Approximation and sampling of multivariate probability distributions in
  the tensor train decomposition	math.NA	http://arxiv.org/abs/1810.01212v3
Arxiv	ee0463aed18d11ea9a8facde48001122	Improved Adaptive Rejection Metropolis Sampling Algorithms	stat.CO	http://arxiv.org/abs/1205.5494v4
Arxiv	efd0c8d0d18d11ea9a8facde48001122	Optimal scaling for the transient phase of Metropolis Hastings
  algorithms: The longtime behavior	stat.ME	http://arxiv.org/abs/1212.5517v3
Arxiv	f161b07ed18d11ea9a8facde48001122	Component-Wise Markov Chain Monte Carlo: Uniform and Geometric
  Ergodicity under Mixing and Composition	stat.CO	http://arxiv.org/abs/0903.0664v6
Arxiv	f34cf8e4d18d11ea9a8facde48001122	Spectral gaps for a Metropolis-Hastings algorithm in infinite dimensions	math.PR	http://arxiv.org/abs/1112.1392v4
Arxiv	f4dc202cd18d11ea9a8facde48001122	CosmoHammer: Cosmological parameter estimation with the MCMC Hammer	astro-ph.CO	http://arxiv.org/abs/1212.1721v2
Arxiv	f66ddcfad18d11ea9a8facde48001122	Bayesian Covariance Modelling of Large Tensor-Variate Data Sets $\&$
  Inverse Non-parametric Learning of the Unknown Model Parameter Vector	stat.AP	http://arxiv.org/abs/1506.05709v1
Arxiv	f98fad50d18d11ea9a8facde48001122	The Bouncy Particle Sampler: A Non-Reversible Rejection-Free Markov
  Chain Monte Carlo Method	stat.ME	http://arxiv.org/abs/1510.02451v6
Arxiv	fb426d9ad18d11ea9a8facde48001122	A hybrid inversion scheme combining Markov chain Monte Carlo and
  iterative methods for determining optical properties of random media	physics.comp-ph	http://arxiv.org/abs/1802.00638v2
Arxiv	fce37df6d18d11ea9a8facde48001122	Riemannian Manifold Hamiltonian Monte Carlo	stat.CO	http://arxiv.org/abs/0907.1100v3
Arxiv	fe84315ad18d11ea9a8facde48001122	Ecological non-linear state space model selection via adaptive particle
  Markov chain Monte Carlo (AdPMCMC)	stat.ME	http://arxiv.org/abs/1005.2238v1
Arxiv	0026a466d18e11ea9a8facde48001122	MCMC with Strings and Branes: The Suburban Algorithm (Extended Version)	physics.comp-ph	http://arxiv.org/abs/1605.05334v2
Arxiv	01b76fe0d18e11ea9a8facde48001122	Transport map accelerated Markov chain Monte Carlo	stat.CO	http://arxiv.org/abs/1412.5492v4
Arxiv	03484122d18e11ea9a8facde48001122	Convergence properties of pseudo-marginal Markov chain Monte Carlo
  algorithms	math.PR	http://arxiv.org/abs/1210.1484v3
Arxiv	04d91d54d18e11ea9a8facde48001122	A random-batch Monte Carlo method for many-body systems with singular
  kernels	physics.comp-ph	http://arxiv.org/abs/2003.06554v1
Arxiv	06798446d18e11ea9a8facde48001122	A Brief Review of Optimal Scaling of the Main MCMC Approaches and
  Optimal Scaling of Additive TMCMC Under Non-Regular Cases	stat.CO	http://arxiv.org/abs/1405.0913v5
Arxiv	0819e69cd18e11ea9a8facde48001122	A Solution to the Galactic Foreground Problem for LISA	astro-ph	http://arxiv.org/abs/astro-ph/0611546v1
Arxiv	0b1e6b92d18e11ea9a8facde48001122	Stochastic Attribute-Value Grammars	cmp-lg	http://arxiv.org/abs/cmp-lg/9610003v1
Arxiv	0cf3ad1ad18e11ea9a8facde48001122	Searching for Massive Black Hole Binaries in the first Mock LISA Data
  Challenge	gr-qc	http://arxiv.org/abs/gr-qc/0701167v1
Arxiv	0e854dc8d18e11ea9a8facde48001122	The Monte Carlo method in quantum field theory	hep-lat	http://arxiv.org/abs/hep-lat/0702020v1
Arxiv	10240566d18e11ea9a8facde48001122	General state space Markov chains and MCMC algorithms	math.PR	http://arxiv.org/abs/math/0404033v4
Arxiv	11b4891ed18e11ea9a8facde48001122	Selection of a MCMC simulation strategy via an entropy convergence
  criterion	math.ST	http://arxiv.org/abs/math/0605263v1
Arxiv	13545790d18e11ea9a8facde48001122	Building a stochastic template bank for detecting massive black hole
  binaries	gr-qc	http://arxiv.org/abs/0801.4070v1
Arxiv	14e4a9cad18e11ea9a8facde48001122	Getting Your Eye In: A Bayesian Analysis of Early Dismissals in Cricket	stat.AP	http://arxiv.org/abs/0801.4408v2
Arxiv	1736a6a6d18e11ea9a8facde48001122	Introduction to Monte Carlo methods for an Ising Model of a Ferromagnet	cond-mat.stat-mech	http://arxiv.org/abs/0803.0217v1
Arxiv	18d7576cd18e11ea9a8facde48001122	Improved time-frequency analysis of extreme-mass-ratio inspiral signals
  in mock LISA data	gr-qc	http://arxiv.org/abs/0804.1084v1
Arxiv	1a68130ad18e11ea9a8facde48001122	A Markov Chain Monte Carlo Algorithm for analysis of low signal-to-noise
  CMB data	astro-ph	http://arxiv.org/abs/0807.0624v1
Arxiv	1d68b67cd18e11ea9a8facde48001122	Principle of detailed balance and convergence assessment of Markov Chain
