Arxiv	cc1a974ad18d11ea9a8facde48001122	Effects on Amorphous Silicon Photovoltaic Performance from
  High-temperature Annealing Pulses in Photovoltaic Thermal Hybrid Devices	cond-mat.mtrl-sci	http://arxiv.org/abs/1203.1216v1
Arxiv	cdf5f94cd18d11ea9a8facde48001122	Selective oxidation-induced strengthening of Zr/Nb nanoscale multilayers	cond-mat.mtrl-sci	http://arxiv.org/abs/1609.06882v1
Arxiv	d100f57ed18d11ea9a8facde48001122	Effective optimization using sample persistence: A case study on quantum
  annealers and various Monte Carlo optimization methods	cs.DM	http://arxiv.org/abs/1706.07826v3
Arxiv	d291cb02d18d11ea9a8facde48001122	Optimizing regularized Cholesky score for order-based learning of
  Bayesian networks	stat.ML	http://arxiv.org/abs/1904.12360v1
Arxiv	d42295a0d18d11ea9a8facde48001122	A quantum annealer with fully programmable all-to-all coupling via
  Floquet engineering	quant-ph	http://arxiv.org/abs/1907.05483v1
Arxiv	d5c3476ad18d11ea9a8facde48001122	Genome assembly using quantum and quantum-inspired annealing	quant-ph	http://arxiv.org/abs/2004.06719v2
Arxiv	d7634f5cd18d11ea9a8facde48001122	Simulation of Galam's contrarian opinions	cond-mat.stat-mech	http://arxiv.org/abs/cond-mat/0308381v1
Arxiv	d90309ced18d11ea9a8facde48001122	Fuzzy Inference Systems Optimization	cs.AI	http://arxiv.org/abs/1110.3385v1
Arxiv	daa3edf2d18d11ea9a8facde48001122	Simulating phase transitions by means of quasi static state changes: the
  capabilities of the time dependent Van der Waals equation of state	cond-mat.soft	http://arxiv.org/abs/1609.09323v1
Arxiv	dc43f85ad18d11ea9a8facde48001122	Physics-Inspired Optimization for Quadratic Unconstrained Problems Using
  a Digital Annealer	physics.comp-ph	http://arxiv.org/abs/1806.08815v3
Arxiv	ddd62152d18d11ea9a8facde48001122	Optimization by Move--Class Deflation	cond-mat.stat-mech	http://arxiv.org/abs/cond-mat/9805137v1
Arxiv	df744bc4d18d11ea9a8facde48001122	Simulated annealing for generalized Skyrme models	hep-ph	http://arxiv.org/abs/hep-ph/0502253v2
Arxiv	e280bf64d18d11ea9a8facde48001122	Finite Element Model Updating Using Response Surface Method	cs.CE	http://arxiv.org/abs/0705.1759v1
Arxiv	e41fd7e2d18d11ea9a8facde48001122	Cryptanalysis of SDES via evolutionary computation techniques	cs.CR	http://arxiv.org/abs/0906.5123v1
Arxiv	e5c0901ed18d11ea9a8facde48001122	Finding the optimum activation energy in DNA breathing dynamics: A
  Simulated Annealing approach	cond-mat.stat-mech	http://arxiv.org/abs/0907.1140v1
Arxiv	e752391ed18d11ea9a8facde48001122	Accelerated Stochastic Sampling of Discrete Statistical Systems	cond-mat.stat-mech	http://arxiv.org/abs/1010.0736v2
Arxiv	e8e229ced18d11ea9a8facde48001122	Faster Convex Optimization: Simulated Annealing with an Efficient
  Universal Barrier	math.OC	http://arxiv.org/abs/1507.02528v2
Arxiv	ea82ccf2d18d11ea9a8facde48001122	Simulating thermal boundary conditions of spin-lattice models with
  weighted averages	cond-mat.dis-nn	http://arxiv.org/abs/1507.08686v3
Arxiv	ec140f68d18d11ea9a8facde48001122	Code Generator for Quantum Simulated Annealing	quant-ph	http://arxiv.org/abs/0908.1633v2
Arxiv	edb2a4ced18d11ea9a8facde48001122	Proposal of a Checking Parameter in the Simulated Annealing Method
  Applied to the Spin Glass Model	cond-mat.dis-nn	http://arxiv.org/abs/1210.7411v6
Arxiv	ef4392eed18d11ea9a8facde48001122	Reconstruction of bremsstrahlung spectra from attenuation data using
  generalized simulated annealing	physics.comp-ph	http://arxiv.org/abs/1411.2932v1
Arxiv	f0e2c8fed18d11ea9a8facde48001122	Convergence Results for a Class of Time-Varying Simulated Annealing
  Algorithms	math.PR	http://arxiv.org/abs/1511.07304v3
Arxiv	f472aa2ad18d11ea9a8facde48001122	Simulated Annealing for JPEG Quantization	cs.MM	http://arxiv.org/abs/1709.00649v1
Arxiv	f612b3f2d18d11ea9a8facde48001122	A Comparison of Genetic Algorithms and Simulated Annealing in Maximizing
  the Thermal Conductivity of Discrete Massive Chains	cond-mat.mtrl-sci	http://arxiv.org/abs/1801.09328v1
Arxiv	f7b29fe2d18d11ea9a8facde48001122	An approximate Itô-SDE based simulated annealing algorithm for
  multivariate design optimization problems	math.OC	http://arxiv.org/abs/1901.10763v1
Arxiv	f9510ff0d18d11ea9a8facde48001122	An Upper Bound for Minimum True Matches in Graph Isomorphism with
  Simulated Annealing	cs.NE	http://arxiv.org/abs/1903.12527v1
Arxiv	fafe60a0d18d11ea9a8facde48001122	Machine Learning Approach for Device-Circuit Co-Optimization of
  Stochastic-Memristive-Device-Based Boltzmann Machine	cs.ET	http://arxiv.org/abs/1905.04431v2
Arxiv	fc9df7ccd18d11ea9a8facde48001122	Parallel in time dynamics with quantum annealers	quant-ph	http://arxiv.org/abs/1909.04929v2
Arxiv	fe3f58e6d18d11ea9a8facde48001122	Simulated annealing based heuristic for multiple agile satellites
  scheduling under cloud coverage uncertainty	eess.SP	http://arxiv.org/abs/2003.08363v1
Arxiv	ffdf5840d18d11ea9a8facde48001122	Chaotic Simulated Annealing by A Neural Network Model with Transient
