Arxiv	c66d277cd18d11ea9a8facde48001122	A Local Fourier Slice Theorem	cs.NA	http://arxiv.org/abs/1806.09706v2
Arxiv	c7feae58d18d11ea9a8facde48001122	Riemann slice-domains over quaternions I	math.CV	http://arxiv.org/abs/1808.06994v3
Arxiv	c99dbfa6d18d11ea9a8facde48001122	Characterization of the Principal 3D Slices Related to the Multicomplex
  Mandelbrot Set	math.DS	http://arxiv.org/abs/1809.02020v3
Arxiv	cb2e61a4d18d11ea9a8facde48001122	Polyregularity of the dot product of slice regular functions	math.CV	http://arxiv.org/abs/1901.10110v1
Arxiv	cd2fe496d18d11ea9a8facde48001122	Quaternionic slice regular functions and quaternionic Laplace transforms	math.CV	http://arxiv.org/abs/2006.07511v1
Arxiv	d04327f6d18d11ea9a8facde48001122	Evolution of Star Formation in the UKIDSS Ultra Deep Survey Field - I.
  Luminosity Functions and Cosmic Star Formation Rate out to z=1.6	astro-ph.CO	http://arxiv.org/abs/1305.1305v1
Arxiv	d1d32c7ed18d11ea9a8facde48001122	Slicing COSMOS with SC4K: the evolution of typical Lya emitters and the
  Lya escape fraction from z~2 to z~6	astro-ph.GA	http://arxiv.org/abs/1712.04451v2
Arxiv	d364fb9ed18d11ea9a8facde48001122	Mapping Distances Across the Perseus Molecular Cloud Using CO
  Observations, Stellar Photometry, and Gaia DR2 Parallax Measurements	astro-ph.GA	http://arxiv.org/abs/1803.08931v2
Arxiv	d4f5026ad18d11ea9a8facde48001122	Physical modelling of galaxy clusters detected by Planck	astro-ph.CO	http://arxiv.org/abs/1805.01991v4
Arxiv	d685b7aad18d11ea9a8facde48001122	Knowledge-based automated planning with three-dimensional generative
  adversarial networks	physics.med-ph	http://arxiv.org/abs/1812.09309v1
Arxiv	d826bbfed18d11ea9a8facde48001122	Computads and slices of operads	math.CT	http://arxiv.org/abs/math/0209035v1
Arxiv	d9c5f48ed18d11ea9a8facde48001122	Slices of Brownian Sheet: New Results, and Open Problems	math.PR	http://arxiv.org/abs/math/0510518v1
Arxiv	db68f2d2d18d11ea9a8facde48001122	An end-to-end network slicing framework for 5G wireless communication
  systems	cs.NI	http://arxiv.org/abs/1608.00572v1
Arxiv	dd095fa0d18d11ea9a8facde48001122	Statistical Multiplexing and Traffic Shaping Games for Network Slicing	cs.NI	http://arxiv.org/abs/1705.00582v3
Arxiv	dea94b2cd18d11ea9a8facde48001122	On the computational complexity of dynamic slicing problems for program
  schemas	cs.PL	http://arxiv.org/abs/1705.07686v1
Arxiv	e1bbca38d18d11ea9a8facde48001122	An Incremental Slicing Method for Functional Programs	cs.PL	http://arxiv.org/abs/1709.08016v1
Arxiv	e38d3efad18d11ea9a8facde48001122	The Creation Phase in Network Slicing: From a Service Order to an
  Operative Network Slice	cs.NI	http://arxiv.org/abs/1804.09642v1
Arxiv	e5366c90d18d11ea9a8facde48001122	SymPas: Symbolic Program Slicing	cs.PL	http://arxiv.org/abs/1903.05333v1
Arxiv	e6d70d3ed18d11ea9a8facde48001122	A Coverage-Aware Resource Provisioning Method for Network Slicing	cs.NI	http://arxiv.org/abs/1907.09211v2
Arxiv	e8779bccd18d11ea9a8facde48001122	Sl-EDGE: Network Slicing at the Edge	cs.NI	http://arxiv.org/abs/2005.00886v1
Arxiv	ea19586cd18d11ea9a8facde48001122	The fast sampling algorithm for Lie-Trotter products	cond-mat.stat-mech	http://arxiv.org/abs/cond-mat/0411048v2
Arxiv	eba9c37ed18d11ea9a8facde48001122	On the efficient Monte Carlo implementation of path integrals	cond-mat.stat-mech	http://arxiv.org/abs/cond-mat/0411368v1
